MINN.HUB
Day Ahead, Real Time, NN Output

Day1
36.74, 62.81, 28.62333805
44.11, 46.71, 28.9846779312
46.11, 48.11, 27.8208169363
35.57, 30.17, 24.8941604251
27.33, 27.43, 27.5188770122
26.28, 36.64, 28.4849152562

Day2
26.25, 24.47, 22.4180850893
25.39, 24.25, 22.9095936424
24.85, 24.66, 24.5715840588
25.1, 27.69, 26.4368654783
26.37, 29.05, 28.2348276092
31.44, 91.19, 24.2607524124
36.16, 27.46, 65.6166391471
41.87, 30.18, 43.1862780277
42.09, 32.73, 32.211257268
45.42, 39.64, 58.1555807157
46.77, 38.58, 37.1095880785
46.26, 44.84, 41.4191270566
47.8, 42.25, 33.361079275
47.16, 36.98, 45.8059254382
47.58, 40.07, 35.0003984849
47.18, 33.9, 38.2474104311
45.64, 31.82, 32.0497917348
42.69, 36.22, 30.062845644
37.4, 28.93, 28.4541791651
44.12, 36.23, 29.8463905301
44.99, 29.95, 31.1773352954
36.68, 26.26, 30.1660446684
29.25, 22.69, 30.1060528419
26.86, 20.03, 29.050473226

Day3
26.8, 10.24, 22.6728611315
25.82, 17.56, 23.5114244266
25.03, 14.36, 25.3425412223
25.39, 12.19, 26.8125190957
27.51, 23.7, 27.3556492308
31.67, 26.53, 24.1235384351
34.99, 32.85, 65.690318263
37.49, 60.79, 42.1331274166
38.72, 32.56, 31.6045563696
41.73, 32.09, 58.1646568777
41.84, 44.08, 37.3965519638
43.54, 32.69, 40.8050043605
46.29, 48.53, 33.7842893891
46.27, 33.99, 46.4666089011
45.96, 28.72, 35.0841596173
46.28, 29.75, 37.989092742
43.59, 27.75, 32.4559245834
40.05, 27.21, 30.4099872219
35.68, 26.89, 28.3184323658
39.1, 29.84, 29.9522329628
46.19, 29.54, 31.6857410565
33.45, 26.73, 31.2433644186
27.43, 25.39, 30.6749441492
26.58, 27.02, 29.2084618692

Day4
27.07, 23.07, 22.7400568752
25.74, 25.3, 21.3770888891
25.47, 18.62, 15.5861278862
26.04, 28.13, 25.6449898938
27.35, 21.54, 33.9693045784
32.87, 31.88, 26.4516481711
37.36, 41.26, 67.8592461636
41.75, 34.36, 49.7184635927
