MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
46.3, 35.13, 40.5988, 11.17
48.27, 30.92, 37.2897, 17.35
47.15, 29.11, 39.4888, 18.04
46.31, 24.41, 36.9204, 21.9
46.12, 27.02, 37.8058, 19.1
43.13, 26.75, 32.4123, 16.38
39.83, 24.02, 32.3858, 15.81
37.04, 24.63, 29.9723, 12.41
40.62, 26.23, 45.6821, -14.39
44.73, 25.94, 37.0776, 18.79
38.5, 24.74, 31.9205, 13.76
32.74, 26.04, 28.1835, 6.7
31.61, 27.62, 28.0933, 3.99

Day5
31.69, 25.3, 26.3071, 6.39
30.69, 23.19, 25.0556, 7.5
29.47, 26.85, 24.574, 2.62
29.69, 25.34, 27.5583, 4.35
30.13, 22.7, 25.7861, 7.43
30.57, 23.41, 28.9725, 7.16
34.44, 26.05, 45.6159, -8.39
39.64, 26.59, 38.2073, 13.05
40.9, 28.57, 34.835, 12.33
41.55, 25.69, 51.1052, -15.86
41.18, 25.5, 39.6394, 15.68
41.1, 24.95, 40.6031, 16.15
38.63, 27.66, 37.2859, 10.97
34.06, 24.82, 39.4925, -9.24
32.21, 26.81, 36.9212, -5.4
31.15, 29.27, 37.8054, -1.88
31.48, 24.78, 32.41, -6.7
31.87, 27.93, 32.3824, -3.94
30.94, 24.88, 29.9708, 6.06
38.42, 32.8, 45.6818, -5.62
41.2, 32.71, 37.0794, 8.49
33.48, 26.22, 31.9212, 7.26
29.38, 24.52, 28.1871, 4.86
28.55, 24.05, 28.0967, 4.5

Day6
25.95, 20.32, 26.3061, -5.63
25.62, 20.83, 25.0554, 4.79
25.18, 20.79, 24.5738, 4.39
24.78, 19.05, 27.5591, -5.73
25.03, 23.51, 25.7856, -1.52
24.92, 28.35, 28.973, 3.43
26.9, 27.9, 45.6167, 1
29.87, 31.77, 38.2073, 1.9
32.82, 34.25, 34.8356, 1.43
37.73, 27.9, 51.1046, -9.83
36.07, 26.68, 39.6395, -9.39
34.16, 28.05, 40.604, -6.11
31.18, 25.66, 37.2851, -5.52
29.69, 26.57, 39.4932, -3.12
28.37, 29.5, 36.9214, 1.13
27.54, 26.71, 37.8054, -0.83
28.92, 29.27, 32.4095, 0.35
29.97, 25.67, 32.3817, -4.3
30.5, 26.75, 29.9705, 3.75
37.32, 26.38, 45.6817, -10.94
47.15, 26.04, 37.0797, 21.11
37.08, 26.32, 31.9213, 10.76
27.97, 24.68, 28.1879, -3.29
25.92, 25.21, 28.0975, -0.71

Day7
26.83, 19.16, 26.3063, 7.67
25.08, 19.78, 25.0554, 5.3
25.84, 19.11, 24.5738, 6.73
27.17, 20.69, 27.5589, -6.48
31.12, 28.74, 25.7857, 2.38
39.87, 26.49, 28.9729, 13.38
44.64, 38.47, 45.6165, -6.17
44.75, 26.61, 38.2073, 18.14
43.03, 26.07, 34.8355, 16.96
45.91, 26.6, 51.1048, -19.31
43.75, 25.9, 39.6395, 17.85
